"","source_message_from","source_message_timestamp","message_size","channel"
"188","U01CRKKRPAS","1603350949.003800",22,"introductions"
"189","U01D0BAHR7X","1603350979.004100",26,"introductions"
"190","U01D0BAHR7X","1603351019.004700",53,"introductions"
"191","U01CRKKRPAS","1603351065.005000",73,"introductions"
"192","U01CRKKRPAS","1603351108.005200",81,"introductions"
"193","U01D0BAHR7X","1603351138.005500",31,"introductions"
"194","U01CRKKRPAS","1603355559.009100",256,"introductions"
"195","U01CRKKRPAS","1603355781.012200",225,"introductions"
"196","U01DTCMB9CY","1603357842.016400",198,"introductions"
"197","U01DPHUPUM6","1603357994.017400",234,"introductions"
"198","U01D3MR3E4T","1603358219.021400",253,"introductions"
"199","U01CWPSRRFY","1603358563.024700",214,"introductions"
"200","U01D3Q06135","1603358907.027400",171,"introductions"
"201","U01DTHU50RE","1603359118.030300",206,"introductions"
"202","U01D0LHNDQV","1603359559.032900",250,"introductions"
"203","U01CRKKRPAS","1603360642.035100",36,"introductions"
"204","U01D3MR3E4T","1603364193.035800",7,"introductions"
"205","U01D45T9LUB","1603366436.036700",17,"introductions"
"206","U01D45T9LUB","1603366723.041100",429,"introductions"
"207","U01D0T9DUKF","1603367185.044000",246,"introductions"
"208","U01D9K9KE3W","1603376270.050000",298,"introductions"
"209","U01DGEXNXSM","1603384621.052800",161,"introductions"
"210","U01DB341212","1603386602.056800",180,"introductions"
"211","U01DB341212","1603386623.057200",15,"introductions"
"212","U01DTCMB9CY","1603396184.063000",180,"introductions"
"213","U01D45T9LUB","1603397307.068800",263,"introductions"
"214","U01CRKKRPAS","1603431255.003500",206,"introductions"
"215","U01D2ER0VFF","1603434032.011100",464,"introductions"
"216","U01DCFTH0PN","1603434550.017600",432,"introductions"
"217","U01D19UEZPX","1603441814.023000",224,"introductions"
"218","U01D3MSU9HR","1603510433.002100",455,"introductions"
"219","U01D5U28EMB","1603543081.001700",179,"introductions"
"220","U01CT0ZAS2J","1603562479.007700",174,"introductions"
"221","U01DAU73TS7","1603703963.000200",190,"introductions"
